Date,,Plant 1 A,Plant 1 B,Plant 2,Plant 3,Plant 4,Plant 5,Plant BNG 1,Plant BNG 2,Raw material,รวม,ร้อยละ,,,,,,,,,,,
25-Apr-26,จำนวนตัวอย่าง,4,3,7,2,1,0,2,4,5,28,100.00,,,,,,,,,,,
,ผ่าน,3,3,7,2,1,0,2,4,5,27,96.43,,,,,,,,,,,
,ไม่ผ่าน,1,0,0,0,0,0,0,0,0,1,3.57,,,,รวม,ไม่ผ่าน,ผ่าน,,,,,
27-Apr-26,จำนวนตัวอย่าง,6,6,8,1,1,1,8,2,5,38,100.00,,,28/3/2026,28,1,27,,,,,
,ผ่าน,6,6,8,1,1,1,8,2,3,36,94.74,,,30/3/2026,38,0,38,,,,,
,ไม่ผ่าน,0,0,0,0,0,0,0,0,0,0,0.00,,,31/3/2026,77,2,75,,,,,
28-Apr-26,จำนวนตัวอย่าง,2,6,0,0,58,3,2,0,6,77,100.00,,,1/4/2026,17,0,17,,,,,
,ผ่าน,2,4,0,0,58,3,2,0,6,75,97.40,,,2/4/2026,22,0,22,,,,,
,ไม่ผ่าน,0,2,0,0,0,0,0,0,0,2,2.60,,,3/4/2026,0,0,0,,,,,
29-Apr-26,จำนวนตัวอย่าง,2,4,5,0,1,0,2,0,3,17,100.00,,,,,,,,,,,
,ผ่าน,2,4,5,0,1,0,2,0,3,17,100.00,,,,,,,,,,,
,ไม่ผ่าน,0,0,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,
30-Apr-26,จำนวนตัวอย่าง,0,7,6,0,2,0,0,1,6,22,100.00,,,,,,,,,,,
,ผ่าน,0,7,6,0,2,0,0,1,6,22,100.00,,,14,26,26,3,63,4,14,7,25
,ไม่ผ่าน,0,0,0,0,0,0,0,0,0,0,0.00,,,14,26,26,3,63,4,14,7,25
01-May-26,จำนวนตัวอย่าง,0,0,0,0,0,0,0,0,0,0,#DIV/0!,,,,,,,,,,,
,ผ่าน,0,0,0,0,0,0,0,0,0,0,#DIV/0!,,,,,,,14,,,,
,ไม่ผ่าน,0,0,0,0,0,0,0,0,0,0,#DIV/0!,,,,,,,26,,,,
,,,,,,,,,,,,,,,,,,,26,,,,
,,,,,,,,,,,,,,,,,,,3,,,,
,,,,,,,,,,,,,,,,,,,63,,,,
,,,,,,,,,,,,,,,,,,,4,,,,
,,,,,,,,,,,,,,,,,,,14,,,,
,,,,,,,,,,,,,,,,,,,7,,,,
,,,,,,,,,,,,,,,,,,,25,,,,
